itemnumall,condition,story,question,itemid_superloc,itemnum_superloc,itemnum_dfetal,itemorder_tomshort,RTPJ,LTPJ,PC ,RpSTS ,RTP ,DMPFC,MMPFC
4,fb,"Expecting the game to be postponed because of the rain, the Garcia family took the subway home. The score was tied, 3-3. During their commute the rain stopped and the game soon ended with a score of 5-3.",The Garcia family arrives home believing the score is 5-3. ,1b,1,3,6,0.41,0.678,0.27,0.06,0.142,-0.388,-0.42
27,fp,"Accounts of the country's bustling economic success were recorded in both fiction and non-fiction books from the early 1900s. Soon after, a horrible plague hit the country and the country was sent into an economic depression.",Early 1900s novels portray the country as experiencing economic wealth. ,1p,2,35,12,-0.062,0.367,-0.259,0.028,-0.006,-0.253,-0.518
1,fb,"The morning of high school dance Sarah placed her high heel shoes under her dress and then went shopping. That afternoon, her sister borrowed the shoes and later put them under Sarahs bed.",Sarah gets ready assuming her shoes are under the dress. ,2b,3,1,1,0.446,0.643,0.492,0.218,0.151,-0.371,-0.657
35,fp,"Sargent famously painted the south bank of the river in 1885. In 1910 a huge dam was built, flooding out the whole river basin, killing the old forests. Now the whole area is under water.",In the painting the south bank of the river is wooded. ,2p,4,29,,-0.159,0.288,-0.276,-0.022,-0.111,-0.07,-0.425
9,fb,When Lisa left Jacob he was deep asleep on the beach. A few minutes later a wave woke him. Seeing Lisa was gone Jacob decided to go swimming.,Lisa now believes that Jacob is sleeping. ,3b,5,5,9,0.31,0.474,0.285,0.423,0.164,0.017,-0.268
39,fp,"At the time a portrait was drawn of a young man, he had short brown hair and no facial hair. Now the man's hair is long and gray and so is his beard. ",Today the length of the man's hair is long. ,3p,6,34,13,-0.389,0.068,-0.44,-0.238,0.016,-0.393,-0.81
20,fb,John told Mary that he had lost his keys. The two of them searched the house with no luck. Then Mary went outside to look in the car. Suddenly John noticed his keys behind the sofa.,"By the time Mary comes in, John doesn't know where his keys are. ",4b,7,2,4,-0.059,0.496,-0.171,0.195,-0.047,0.283,-0.693
34,fp,A biography describes the room as it was in 1965. Originally the walls were covered in dark wallpaper. By 1965 the paper had been stripped and replaced with cream paint.,The biography says that the room was light. ,4p,8,30,,-0.157,0.343,-0.411,-0.073,-0.198,-0.24,-0.518
19,fb,Susie parked her sportscar in the driveway. In the middle of the night Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.,Susie sees the minivan in the driveway. ,5b,9,4,8,-0.04,0.265,0.197,0.065,-0.149,-0.274,-0.511
40,fp,"The girls middle school pictures showed her wearing a white blouse. Later, a red sock was accidentally washed with the blouse and the blouse turned pink. ",Today the color of the blouse is white. ,5p,10,36,10,-0.47,0.24,-0.588,0.05,-0.465,-0.314,-0.647
14,fb,"A window wiper was commissioned by a CEO to wipe an entire building. He finished the right side, but his platform broke before he could do the left side. The next morning the CEO arrived with foreign investors.",The CEO comes to work and discovers that all of the walls are cleaned. ,6b,11,7,14,0.175,0.596,-0.051,0.345,0.229,0.217,-0.409
26,fp,"A long time ago, an explorer mapped a small island. Since then, the water levels rose and only a tiny part of the island is now left above water.","On the explorer's maps, the island appears to be mostly submerged. ",6p,12,33,15,-0.025,0.278,-0.331,-0.003,-0.109,-0.101,-0.273
24,fb,Sally and Greg called ahead of time to make a reservation for the back-country cabin. The park ranger forgot to write down the reservation and two other hikers got to the cabin first.,When the hikers arrive they see no one in their cabin. ,7b,13,8,16,0.18,0.489,-0.083,0.285,0.279,-0.161,-0.591
48,fp,"When the picture was taken of the house, it was one story tall. Since then, the renovators added an additional story and a garage.",The house is currently one story. ,7p,14,37,7,,,,,,,
2,fb,Larry chose a debated topic for his class paper due on Friday. The news on Thursday indicated that the debate had been solved but Larry never read it. ,When Larry writes his paper he thinks the debate has been solved. ,8b,15,6,11,0.444,0.477,0.608,0.312,0.079,-0.095,-0.303
43,fp,A volcano erupted on a Carribean island three months ago. Barren lava rock is all that remains today. Satellite photographs show the island as it was before the eruption. ,"Today, the island is covered in lava rock. ",8p,,39,3,,,,,,,
